Date,Open,High,Low,Close,Adj Close,Volume
2021-11-05,45.680000,45.950001,45.285000,45.759998,44.895355,3898494
2021-11-08,45.889999,46.169998,45.590000,45.790001,44.924789,3702953
2021-11-09,45.990002,46.049999,45.294998,46.040001,45.170067,3490425
2021-11-10,45.439999,45.590000,44.285000,44.450001,44.069569,4319005
2021-11-11,44.500000,44.860001,44.240002,44.250000,43.871277,3845773
2021-11-12,44.049999,44.310001,43.970001,44.169998,43.791962,2812039
2021-11-15,44.884998,45.544998,44.560001,45.279999,44.892460,5912843
2021-11-16,45.700001,45.919998,45.535000,45.590000,45.199810,4814834
2021-11-17,45.220001,45.779999,45.099998,45.340000,44.951950,4750703
2021-11-18,44.709999,45.130001,44.455002,45.070000,44.684261,4410293
2021-11-19,43.630001,43.869999,43.040001,43.209999,42.840179,4642181
2021-11-22,42.730000,43.570000,42.709999,43.130001,42.760864,5072671
2021-11-23,43.459999,44.220001,43.400002,44.080002,43.702736,4515299
2021-11-24,43.599998,44.288502,43.599998,44.240002,43.861366,3031828
2021-11-26,41.770000,42.150002,41.459999,42.070000,41.709934,7174453
2021-11-29,43.209999,43.490002,42.400002,42.450001,42.086685,4648172
2021-11-30,41.910000,42.299999,41.595001,42.040001,41.680195,6551435
2021-12-01,43.020000,43.115002,41.560001,41.590000,41.234043,6006255
2021-12-02,43.119999,44.070000,42.700001,43.869999,43.494530,8238228
2021-12-03,44.250000,44.419998,43.314999,43.580002,43.207012,5333061
2021-12-06,44.810001,44.830002,44.430000,44.490002,44.109226,4270646
2021-12-07,44.660000,45.105000,44.299999,44.439999,44.059650,5092649
2021-12-08,44.895000,45.119999,44.549999,44.599998,44.218281,5591581
2021-12-09,44.130001,44.180000,43.700001,44.029999,43.653160,3996704
2021-12-10,44.279999,44.349998,43.730000,44.150002,43.772137,4575450
2021-12-13,43.220001,43.345001,42.700001,42.830002,42.463432,4141180
2021-12-14,42.689999,43.345001,42.590000,42.680000,42.314716,4931628
2021-12-15,42.580002,42.965000,42.035000,42.830002,42.463432,4013304
2021-12-16,43.110001,43.529999,42.825001,42.860001,42.493176,4744518
2021-12-17,42.680000,42.750000,42.095001,42.110001,41.749596,5935715
2021-12-20,41.689999,41.950001,41.230000,41.930000,41.571133,4125955
2021-12-21,42.389999,43.174999,42.389999,43.049999,42.681549,4630759
2021-12-22,43.000000,43.630001,42.759998,43.520000,43.147526,3264642
2021-12-23,44.000000,44.430000,43.779999,43.840000,43.464787,3037950
2021-12-27,43.660000,44.340000,43.314999,44.330002,43.950596,2860791
2021-12-28,44.189999,44.450001,43.849998,44.020000,43.643246,3656423
2021-12-29,43.970001,44.209999,43.680000,43.680000,43.306156,3319381
2021-12-30,43.919998,44.070000,43.389999,43.400002,43.028553,3539821
2021-12-31,43.700001,43.799999,43.250000,43.400002,43.028553,2348383
2022-01-03,44.040001,44.730000,43.959999,44.639999,44.257938,7286049
2022-01-04,45.950001,46.270000,45.825001,45.970001,45.576557,6062476
2022-01-05,46.720001,46.945000,45.970001,45.990002,45.596386,5352739
2022-01-06,47.000000,47.060001,46.334999,46.740002,46.339970,5412441
2022-01-07,46.820000,47.320000,46.490002,47.270000,46.865433,4616054
2022-01-10,47.419998,47.650002,46.705002,47.009998,46.607655,4283586
2022-01-11,47.349998,48.520000,47.180000,48.490002,48.074989,5288449
2022-01-12,49.299999,49.520000,49.020000,49.299999,48.878056,5405231
2022-01-13,49.490002,49.720001,49.084999,49.240002,48.818573,4097965
2022-01-14,49.410000,50.110001,49.380001,50.049999,49.621635,5490115
2022-01-18,51.000000,51.270000,50.314999,50.950001,50.513935,6091297
2022-01-19,51.200001,51.279999,50.389999,50.799999,50.365219,4590968
2022-01-20,49.549999,50.410000,49.480000,49.490002,49.066433,5513072
2022-01-21,48.880001,49.060001,48.369999,48.650002,48.233620,6755567
2022-01-24,47.250000,48.040001,46.369999,48.000000,47.589184,6992372
2022-01-25,48.240002,50.000000,47.700001,49.740002,49.314293,5846684
2022-01-26,51.270000,51.689999,50.584999,50.910000,50.474277,6747433
2022-01-27,51.799999,52.090000,50.650002,51.110001,50.672565,6007013
2022-01-28,50.900002,51.200001,50.305000,51.040001,50.603165,6757736
2022-01-31,null,null,null,null,null,null
2022-02-01,null,null,null,null,null,null
2022-02-02,null,null,null,null,null,null
2022-02-03,null,null,null,null,null,null
2022-02-04,null,null,null,null,null,null
2022-02-07,null,null,null,null,null,null
2022-02-08,null,null,null,null,null,null
2022-02-09,null,null,null,null,null,null
2022-02-10,null,null,null,null,null,null
2022-02-11,54.849998,55.730000,54.725899,55.209999,54.737473,4016099
2022-02-14,54.380001,54.580002,53.709999,54.380001,53.914581,4360596
2022-02-15,52.830002,53.730000,52.590000,53.470001,53.012367,3848897
2022-02-16,54.480000,55.020000,53.974998,54.040001,53.577488,4217901
2022-02-17,53.820000,54.000000,53.130001,53.630001,53.170998,2709933
2022-02-18,53.240002,53.490002,52.830002,53.240002,52.784336,2874787
2022-02-22,53.650002,53.900002,52.090000,52.669998,52.219212,3382529
